"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"LINC00624",62.7206940950149,0.727275100098649,0.182195263682762,3.99173439198167,6.55918139088056e-05,0.00832752560306274,2.27180966890904,"up"
"LINC02535",24.9478088944377,1.11570059047008,0.279853068230652,3.98673703141439,6.69882014163965e-05,0.00835327412844024,2.2998803540049,"up"
"SEZ6L",28.7800196969606,1.165397203598,0.293021364316551,3.97717485998402,6.97388831532427e-05,0.00795986592914412,2.60133713933961,"up"
"LINC02814",13.0514416057338,1.20052654999934,0.302148766374676,3.97329621564843,7.08848057901085e-05,0.00874878391137647,2.29753316530199,"up"
"PRKCG",15.575587712723,0.984260060131012,0.24825053451941,3.96478526032763,7.34620493981922e-05,0.0090676535541974,2.27180966890904,"up"
"PURPL",21.0441815349826,1.70208794617262,0.430909539124434,3.94998901540008,7.81547798860564e-05,0.0094080558843911,2.29753316530199,"up"
"TNNC2",303.241183134615,1.24583301764985,0.315857634531627,3.94428654383247,8.00379094310857e-05,0.0120701664811571,1.59691925975409,"up"
"RP11-296A18.6",3.80729609162423,0.656942606483407,0.167182308102865,3.92949836581511,8.51232551604264e-05,0.0107883849558035,2.00131310576831,"up"
"CTD-3064H18.4",13.0686242211147,1.25132046303594,0.318512669283564,3.92863638941129,8.54288948860018e-05,0.00992005473313071,2.2998803540049,"up"
"FOXN4",15.6752220073982,1.42059977726002,0.361622625390895,3.92840402539645,8.55114638292722e-05,0.00751662360117381,3.62801028336934,"up"
"TRIM63",14.3392272569093,1.23933641904199,0.31584558044119,3.9238681678269,8.71384317716503e-05,0.0100126136029492,2.2998803540049,"up"
"PTPDC1",558.262161496836,0.323622464123992,0.0825050735040129,3.9224553155298,8.76511528259151e-05,0.0219741171823634,0.713959235156806,"up"
"LINC00567",4.97888668544199,1.08551469565045,0.276944050710494,3.91961731210903,8.86896832366968e-05,0.010043519156145,2.29753316530199,"up"
"GPSM1",973.489204301394,0.503750012374716,0.128549468154327,3.91872498274324,8.90186143905083e-05,0.0283727293491226,0.509379818183732,"up"
"UGT3A1",16.668366933416,2.51270521740001,0.641499569449585,3.91692424603799,8.96859160130207e-05,0.0094080558843911,2.60133713933961,"up"
"PON1",59.6374221389321,1.06255434334119,0.271432378206256,3.91461899410458,9.05470745837675e-05,0.00745326745185433,3.94931629578788,"up"
